Test Leap Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,-2.03385,-1.92362,29.1897,0.348333,-0.332155,0.287766,2.088,
9,24,267,-2.14651,-1.8718,29.4395,0.350324,-0.325612,0.290042,2.107,
9,24,267,-2.21871,-1.83257,29.591,0.350199,-0.319303,0.290695,2.128,
9,24,267,-2.28806,-1.79178,29.7355,0.350126,-0.311525,0.290674,2.148,
9,24,267,-2.36393,-1.73935,29.8808,0.351541,-0.307122,0.290169,2.167,
9,24,267,-2.48402,-1.63414,30.0741,0.354194,-0.30098,0.29187,2.187,
9,24,267,-2.56228,-1.56271,30.2134,0.354146,-0.297808,0.293797,2.205,
9,24,267,-2.63762,-1.48922,30.3515,0.353971,-0.295678,0.294845,2.224,
9,24,267,-2.70157,-1.42603,30.4794,0.35456,-0.290647,0.297645,2.247,
9,24,267,-2.77797,-1.35942,30.666,0.357197,-0.280755,0.299905,2.268,
9,24,267,-2.82039,-1.33982,30.8114,0.360926,-0.274794,0.300073,2.288,
9,24,267,-2.87781,-1.32166,31.0271,0.364209,-0.267837,0.295061,2.307,
9,24,267,-2.91798,-1.30317,31.1672,0.362936,-0.266254,0.291667,2.328,
9,24,267,-2.95928,-1.28086,31.306,0.362181,-0.262632,0.286803,2.349,
9,24,267,-2.99807,-1.25275,31.4244,0.362997,-0.262317,0.284672,2.367,
9,24,267,-3.031,-1.22155,31.5804,0.3627,-0.261844,0.281755,2.387,
9,24,267,-3.01425,-1.21435,31.6779,0.362581,-0.262735,0.28081,2.405,
9,24,267,-2.997,-1.21688,31.7795,0.364277,-0.26186,0.279334,2.425,
9,24,267,-2.982,-1.24018,31.8952,0.367242,-0.261108,0.278023,2.448,
9,24,267,-3.06825,-1.29518,32.0294,0.366823,-0.261108,0.295971,2.467,
9,24,267,-3.10475,-1.34647,32.1191,0.367198,-0.260541,0.304464,2.487,
9,24,267,-3.11075,-1.39256,32.2207,0.37024,-0.258256,0.306392,2.504,
9,24,267,-3.13925,-1.43344,32.3869,0.373249,-0.256467,0.30551,2.523,
9,24,267,-3.148,-1.46195,32.5165,0.37607,-0.256136,0.306233,2.544,
9,24,267,-3.15875,-1.46329,32.6192,0.377451,-0.255009,0.306518,2.563,
9,24,267,-3.16275,-1.46854,32.7221,0.379897,-0.25215,0.305491,2.584,
9,24,267,-3.17925,-1.43349,32.8693,0.382684,-0.247408,0.30406,2.603,
9,24,267,-3.1975,-1.39048,32.9663,0.384918,-0.24129,0.303022,2.622,
9,24,267,-3.223,-1.32469,33.0698,0.385833,-0.239002,0.300978,2.643,
9,24,267,-3.24475,-1.21297,33.2013,0.385737,-0.237086,0.294685,2.666,
9,24,267,-3.26175,-1.13864,33.2845,0.388525,-0.234975,0.292004,2.685,
9,24,267,-3.294,-1.05022,33.3507,0.38954,-0.233952,0.289624,2.705,
9,24,267,-3.3235,-0.935676,33.4471,0.38943,-0.23017,0.283823,2.723,
9,24,267,-3.3235,-0.872126,33.5261,0.389178,-0.228699,0.280903,2.743,
9,24,267,-3.293,-0.830551,33.6292,0.390819,-0.224548,0.275662,2.762,
9,24,267,-3.25825,-0.786355,33.7422,0.390081,-0.221558,0.273468,2.781,
9,24,267,-3.181,-0.741435,33.9065,0.391482,-0.216175,0.269619,2.802,
9,24,267,-3.10925,-0.717986,34.0266,0.393197,-0.215772,0.267408,2.821,
9,24,267,-3.025,-0.691849,34.1299,0.394822,-0.21853,0.264329,2.84,
9,24,267,-2.91075,-0.700651,34.2426,0.394938,-0.224031,0.261877,2.862,
9,24,267,-2.709,-0.761309,34.3741,0.399209,-0.223087,0.256053,2.885,
9,24,267,-2.5845,-0.817441,34.4354,0.403337,-0.217112,0.250999,2.905,
9,24,267,-2.44125,-0.918086,34.535,0.404313,-0.212476,0.248466,2.924,
9,24,267,-2.373,-0.987074,34.606,0.40495,-0.211949,0.246963,2.942,
9,24,267,-2.31075,-1.06847,34.6831,0.406966,-0.211629,0.247375,2.96,
9,24,267,-2.26525,-1.1612,34.7635,0.411317,-0.209152,0.24996,2.979,
9,24,267,-2.2245,-1.26102,34.8546,0.416527,-0.204086,0.252112,2.999,
9,24,267,-2.19225,-1.3451,34.9409,0.419032,-0.199799,0.253953,3.018,
9,24,267,-2.16275,-1.42168,35.0758,0.418922,-0.199346,0.257077,3.037,
9,24,267,-2.14275,-1.44869,35.1595,0.421605,-0.198473,0.257062,3.056,
9,24,267,-2.13075,-1.47359,35.2504,0.424653,-0.195471,0.256126,3.077,
9,24,267,-2.13075,-1.47359,35.2504,0.424653,-0.195471,0.256126,3.095,
9,24,267,-2.13425,-1.45449,35.425,0.431367,-0.18923,0.2508,3.114,
9,24,267,-2.17175,-1.41385,35.5533,0.431733,-0.189191,0.242968,3.132,
9,24,267,-2.19975,-1.4046,35.6534,0.431262,-0.189828,0.239187,3.151,
9,24,267,-2.20975,-1.40882,35.7641,0.434728,-0.186201,0.233301,3.171,
9,24,267,-2.228,-1.41044,35.8733,0.43706,-0.18334,0.228807,3.191,
9,24,267,-2.27575,-1.39735,36.0354,0.438286,-0.178715,0.22462,3.212,
9,24,267,-2.313,-1.36227,36.1477,0.439949,-0.178518,0.222714,3.233,
9,24,267,-2.35075,-1.32207,36.2613,0.443539,-0.178143,0.222189,3.252,
9,24,267,-2.37025,-1.27658,36.4706,0.448375,-0.180994,0.222577,3.274,
9,24,267,-2.3535,-1.25061,36.6216,0.449404,-0.182042,0.221499,3.296,
9,24,267,-2.2945,-1.24307,36.8236,0.448784,-0.179942,0.21997,3.315,
9,24,267,-2.24975,-1.24757,36.9408,0.448336,-0.17468,0.218863,3.334,
9,24,267,-2.20875,-1.24043,37.0542,0.447086,-0.171694,0.217223,3.352,
9,24,267,-2.17,-1.21664,37.1614,0.445629,-0.171148,0.215301,3.37,
9,24,267,-2.13725,-1.18758,37.2593,0.443537,-0.172306,0.213995,3.389,
9,24,267,-2.099,-1.16804,37.3571,0.441987,-0.174182,0.211457,3.409,
9,24,267,-2.03625,-1.17794,37.515,0.441072,-0.17451,0.207172,3.428,
9,24,267,-1.99,-1.21032,37.6324,0.446965,-0.167212,0.20329,3.447,
9,24,267,-1.933,-1.24487,37.7715,0.448407,-0.164144,0.199243,3.465,
9,24,267,-1.872,-1.27694,37.9145,0.449365,-0.160886,0.194621,3.484,
9,24,267,-1.79825,-1.31597,38.1264,0.445553,-0.157699,0.188983,3.506,
9,24,267,-1.79425,-1.3439,38.2675,0.443093,-0.156099,0.187133,3.527,
9,24,267,-1.7765,-1.36772,38.3987,0.441678,-0.15181,0.18465,3.547,
9,24,267,-1.791,-1.34248,38.5655,0.440644,-0.147671,0.181293,3.567,
9,24,267,-1.81625,-1.26586,38.6702,0.439447,-0.150964,0.179076,3.585,
9,24,267,-1.8665,-1.15863,38.7549,0.437566,-0.15556,0.17943,3.604,
9,24,267,-1.89775,-1.07771,38.8416,0.434754,-0.160539,0.180027,3.622,
9,24,267,-1.9725,-0.972734,38.9689,0.431315,-0.163286,0.186485,3.643,
9,24,267,-2.02875,-0.885572,39.0514,0.430295,-0.163671,0.191234,3.662,
9,24,267,-2.06575,-0.81485,39.1398,0.427102,-0.162109,0.195694,3.683,
9,24,267,-2.09675,-0.718967,39.2799,0.428384,-0.155312,0.197702,3.704,
9,24,267,-2.119,-0.666059,39.3721,0.429505,-0.151693,0.201273,3.725,
9,24,267,-2.14775,-0.613138,39.4737,0.429777,-0.150202,0.204421,3.745,
9,24,267,-2.197,-0.556658,39.6161,0.429842,-0.143194,0.206978,3.766,
9,24,267,-2.214,-0.528049,39.7176,0.429397,-0.141807,0.209395,3.79,
9,24,267,-2.186,-0.47684,39.8598,0.428504,-0.138258,0.210777,3.812,
9,24,267,-2.11975,-0.430822,39.9715,0.428493,-0.133015,0.207639,3.836,
9,24,267,-2.085,-0.398876,40.0428,0.428979,-0.131037,0.206586,3.857,
9,24,267,-2.04525,-0.360348,40.1436,0.430243,-0.129327,0.206129,3.881,
9,24,267,-2.06525,-0.312356,40.2247,0.42965,-0.128083,0.207168,3.904,
9,24,267,-2.092,-0.278524,40.2808,0.427763,-0.126579,0.206747,3.924,
9,24,267,-2.1165,-0.247921,40.3428,0.426902,-0.124732,0.206124,3.943,
9,24,267,-2.1535,-0.203738,40.4183,0.424934,-0.125502,0.206248,3.963,
9,24,267,-2.183,-0.17692,40.4938,0.424173,-0.124724,0.206245,3.981,
9,24,267,-2.2355,-0.151801,40.5988,0.422537,-0.123509,0.207363,4,
9,24,267,-2.27825,-0.143443,40.6653,0.421094,-0.121517,0.207805,4.019,
9,24,267,-2.29975,-0.167623,40.7364,0.421872,-0.116607,0.207556,4.039,
9,24,267,-2.31325,-0.205816,40.8222,0.424607,-0.111093,0.20712,4.058,
9,24,267,-2.328,-0.236333,40.9744,0.423191,-0.107112,0.206742,4.078,
9,24,267,-2.3295,-0.239116,41.0735,0.423441,-0.104839,0.20588,4.101,
9,24,267,-2.336,-0.234762,41.2786,0.422921,-0.102578,0.206739,4.121,
9,24,267,-2.33175,-0.23956,41.4058,0.421136,-0.100206,0.205611,4.14,
