Test motor Data
q1,q2,q3,q6,q7
10.0037,14.6285,11.1588,3.71396,0.443802,
10.0439,14.6678,11.1896,3.71798,0.444686,
10.0906,14.7148,11.2315,3.71947,0.44533,
10.144,14.7655,11.2663,3.71823,0.445477,
10.1905,14.8092,11.3012,3.71518,0.445477,
10.2361,14.8516,11.3383,3.7119,0.445477,
10.2821,14.8918,11.3719,3.7091,0.445477,
10.3254,14.931,11.4012,3.70748,0.445477,
10.3714,14.9721,11.4378,3.70653,0.445477,
10.4224,15.017,11.4722,3.70772,0.445477,
10.4709,15.0592,11.5072,3.71024,0.444612,
10.5176,15.1016,11.5415,3.71317,0.444226,
10.5711,15.1456,11.582,3.71615,0.443305,
10.6233,15.1927,11.6203,3.71787,0.442145,
10.6761,15.2365,11.6548,3.71829,0.440691,
10.7269,15.2811,11.6919,3.71608,0.438979,
10.7746,15.3234,11.7298,3.711,0.437065,
10.8329,15.3754,11.773,3.70167,0.434984,
10.8819,15.423,11.8083,3.68953,0.433125,
10.9341,15.4678,11.8491,3.6726,0.431671,
10.9856,15.5156,11.8883,3.6501,0.430456,
11.0356,15.5563,11.9266,3.62661,0.429591,
11.0881,15.6027,11.9605,3.59968,0.42913,
11.1305,15.6399,11.992,3.57533,0.429001,
11.1733,15.6773,12.0237,3.55001,0.429001,
11.2119,15.7108,12.0523,3.52702,0.429001,
11.2499,15.7438,12.083,3.50331,0.429001,
11.2889,15.7795,12.1128,3.47971,0.429001,
11.3262,15.8121,12.1407,3.45841,0.429001,
11.366,15.8458,12.168,3.43634,0.429001,
11.4039,15.88,12.1971,3.4146,0.429001,
11.4409,15.9171,12.2293,3.39238,0.428983,
11.4809,15.9515,12.2596,3.37095,0.428155,
11.5169,15.986,12.2905,3.3523,0.427326,
11.5511,16.0192,12.3135,3.33682,0.426461,
11.5844,16.0517,12.3402,3.32263,0.425614,
11.6158,16.0839,12.3657,3.31073,0.424878,
11.6495,16.1148,12.3916,3.30009,0.424141,
11.686,16.1494,12.4197,3.29157,0.423516,
11.7238,16.1862,12.4538,3.28413,0.422945,
11.7651,16.222,12.4791,3.27948,0.422522,
11.8065,16.2585,12.5117,3.27612,0.422172,
11.8579,16.3029,12.546,3.27384,0.421932,
11.9003,16.3389,12.576,3.27285,0.421896,
11.9474,16.3786,12.6089,3.27237,0.421675,
11.9938,16.4174,12.6441,3.27195,0.421472,
12.0449,16.4621,12.6803,3.27266,0.421343,
12.0998,16.5075,12.7154,3.27432,0.421288,
12.1549,16.5506,12.7524,3.2767,0.420478,
12.206,16.5948,12.7915,3.27966,0.419392,
12.2587,16.6361,12.8271,3.28321,0.418103,
12.3164,16.684,12.8641,3.28796,0.416428,
12.3751,16.7352,12.9092,3.29496,0.414532,
12.4331,16.784,12.9471,3.30295,0.412986,
12.4864,16.8271,12.9843,3.31292,0.411881,
12.5347,16.8688,13.0223,3.32528,0.411329,
12.5858,16.9137,13.057,3.34021,0.411329,
12.6293,16.953,13.0898,3.35661,0.412728,
12.6739,16.9964,13.1249,3.3775,0.415839,
12.7171,17.0362,13.1609,3.4021,0.420681,
12.7544,17.0773,13.1925,3.42735,0.426498,
12.792,17.1151,13.2208,3.45513,0.433548,
12.8256,17.1525,13.2523,3.48593,0.441851,
12.8675,17.2007,13.2874,3.52818,0.45389,
12.8955,17.2367,13.3144,3.56196,0.463389,
12.9205,17.271,13.3398,3.59646,0.472631,
12.9438,17.3064,13.3654,3.63302,0.482516,
12.9662,17.3427,13.3954,3.67146,0.491978,
12.9873,17.3753,13.4166,3.70757,0.500612,
13.0061,17.4093,13.4416,3.74817,0.510222,
13.0231,17.4412,13.4668,3.78826,0.518487,
13.0414,17.4736,13.4917,3.83207,0.527287,
13.0559,17.5027,13.5122,3.86994,0.534282,
13.0704,17.5319,13.5359,3.91029,0.54102,
13.0833,17.5587,13.5578,3.9486,0.5468,
13.0938,17.5826,13.5734,3.98222,0.551145,
13.1041,17.6084,13.594,4.02003,0.555231,
13.112,17.631,13.6095,4.05258,0.557993,
13.1187,17.652,13.6248,4.08442,0.55976,
13.1237,17.6712,13.6382,4.1138,0.560349,
13.1272,17.689,13.651,4.14191,0.560349,
13.1294,17.7056,13.6615,4.16841,0.558895,
13.1303,17.7203,13.6709,4.19132,0.556888,
13.1309,17.7334,13.6786,4.21377,0.554145,
13.1283,17.7496,13.6857,4.2351,0.551476,
13.1255,17.762,13.6917,4.25257,0.549341,
13.1226,17.7726,13.6964,4.26684,0.548052,
13.1193,17.7838,13.7013,4.28053,0.547408,
13.1159,17.795,13.7058,4.29327,0.547408,
13.1126,17.8067,13.7108,4.30667,0.548604,
13.1095,17.8186,13.7165,4.31976,0.550132,
13.1065,17.8318,13.7223,4.3337,0.551955,
13.1041,17.8456,13.7289,4.34821,0.553667,
13.1024,17.8614,13.7371,4.36402,0.555084,
13.1017,17.8766,13.7453,4.37768,0.556023,
13.1028,17.8929,13.7555,4.39113,0.55663,
13.1058,17.9117,13.7667,4.40376,0.556815,
13.1118,17.9304,13.7798,4.414,0.556815,
13.1205,17.9495,13.7953,4.42199,0.556815,
13.1331,17.9701,13.8105,4.42768,0.556815,
13.1491,17.9906,13.8276,4.43101,0.556815,
13.1717,18.015,13.85,4.43167,0.556815,
13.1995,18.0374,13.8697,4.4295,0.556907,
13.2334,18.0625,13.8971,4.42293,0.557017,
13.2842,18.0931,13.9249,4.41138,0.557128,
13.3359,18.117,13.9556,4.39675,0.555508,
13.3907,18.1351,13.9809,4.37989,0.553759,
13.4465,18.1498,14.0117,4.35942,0.551807,
13.5076,18.1573,14.0383,4.33687,0.549967,
13.5671,18.1571,14.0606,4.31531,0.548641,
13.619,18.1475,14.0835,4.29556,0.547997,
13.6702,18.127,14.1066,4.27623,0.547997,
13.7177,18.096,14.1292,4.25771,0.549525,
13.7654,18.0496,14.1524,4.23801,0.551292,
13.8076,17.9877,14.1784,4.21763,0.552617,
13.8378,17.9181,14.2011,4.19595,0.552691,
13.8548,17.8469,14.2224,4.174,0.55131,
13.8608,17.7666,14.244,4.15011,0.547721,
13.8529,17.6762,14.2666,4.12336,0.542014,
13.832,17.5832,14.2855,4.09411,0.533527,
13.7896,17.4592,14.3124,4.056,0.520696,
13.7361,17.3432,14.3269,4.01725,0.50573,
13.6863,17.247,14.3398,3.98491,0.492273,
13.6071,17.1246,14.3368,3.93761,0.47333,
13.5184,16.9877,14.3156,3.88612,0.454148,
13.4253,16.8594,14.2933,3.83403,0.435537,
13.3333,16.7415,14.2484,3.78228,0.418011,
13.2327,16.6257,14.1837,3.72797,0.400081,
13.1304,16.5104,14.1225,3.67271,0.383329,
13.0169,16.3898,14.0424,3.61288,0.365012,
12.8997,16.272,13.9499,3.55268,0.347929,
12.7793,16.1513,13.8678,3.49249,0.331121,
12.6472,16.0309,13.7737,3.42831,0.313927,
12.5057,15.9136,13.6625,3.35757,0.295408,
12.3972,15.8227,13.5983,3.31257,0.284344,
12.2421,15.6973,13.5079,3.24599,0.268973,
12.0922,15.5677,13.4136,3.17994,0.254264,
11.9308,15.4513,13.3231,3.11475,0.240402,
11.7762,15.337,13.238,3.05627,0.228087,
11.6183,15.223,13.1538,2.9976,0.216507,
11.4537,15.1132,13.0618,2.9377,0.204413,
11.2828,14.9948,12.9744,2.8782,0.191987,
11.1522,14.8927,12.9127,2.83549,0.183261,
10.9781,14.7881,12.8202,2.78323,0.17181,
10.7873,14.6608,12.7318,2.72616,0.158041,
10.666,14.5741,12.634,2.68481,0.148339,
10.5327,14.4865,12.5999,2.65449,0.14116,
10.34,14.3606,12.4754,2.60032,0.127003,
10.1388,14.2366,12.3995,2.55372,0.115921,
10.0361,14.1704,12.3379,2.52799,0.10968,
9.93326,14.1041,12.2934,2.50389,0.103108,
9.72372,13.9564,12.1726,2.45332,0.0902405,
9.4985,13.8184,12.0498,2.40675,0.0777224,
9.29302,13.6933,11.9629,2.36945,0.0681682,
9.10716,13.5746,11.8673,2.33458,0.0593503,
8.90923,13.442,11.7467,2.29968,0.0511952,
8.70286,13.3108,11.6414,2.2673,0.043758,
8.50028,13.1757,11.5361,2.23878,0.0369651,
8.28381,13.0492,11.4371,2.21356,0.0310926,
8.09248,12.9204,11.3434,2.19241,0.026159,
7.90334,12.777,11.2336,2.17382,0.0218882,
7.74444,12.6554,11.1365,2.15898,0.0184089,
