Test PMAC Forward Kinematics Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,-0.785445,-0.846052,28.4317,0.346787,-0.0564938,-0.0524546,2.247,
9,24,267,-0.796155,-0.848616,28.5626,0.347542,-0.0564293,-0.0529476,2.268,
9,24,267,-0.80996,-0.848653,28.6934,0.348278,-0.0562172,-0.0536591,2.288,
9,24,267,-0.826807,-0.846211,28.8291,0.348886,-0.0558232,-0.0545457,2.307,
9,24,267,-0.847068,-0.840513,28.9662,0.349677,-0.0552151,-0.0556448,2.328,
9,24,267,-0.86872,-0.831959,29.0954,0.350543,-0.0544407,-0.0568411,2.349,
9,24,267,-0.893544,-0.819728,29.2286,0.351647,-0.053417,-0.0582167,2.367,
9,24,267,-0.920514,-0.804375,29.3596,0.352936,-0.0522217,-0.0597448,2.387,
9,24,267,-0.949967,-0.784518,29.4883,0.354372,-0.0507391,-0.0614151,2.405,
9,24,267,-0.983384,-0.760422,29.636,0.355992,-0.0489673,-0.0632908,2.425,
9,24,267,-1.01943,-0.730435,29.7842,0.35763,-0.0468342,-0.0653186,2.448,
9,24,267,-1.0524,-0.70154,29.9233,0.359011,-0.0447932,-0.0671396,2.467,
9,24,267,-1.08185,-0.672892,30.0465,0.360189,-0.0428159,-0.0687709,2.487,
9,24,267,-1.11148,-0.643222,30.1784,0.361275,-0.0407712,-0.0703746,2.504,
9,24,267,-1.14321,-0.609005,30.3217,0.362416,-0.0384414,-0.072072,2.523,
9,24,267,-1.17044,-0.579173,30.4548,0.363282,-0.0364154,-0.0734914,2.544,
9,24,267,-1.19612,-0.549678,30.5868,0.364128,-0.0344277,-0.0748056,2.563,
9,24,267,-1.2204,-0.520444,30.7179,0.365049,-0.0324696,-0.076019,2.584,
9,24,267,-1.24144,-0.49685,30.8453,0.365896,-0.0308841,-0.0770395,2.603,
9,24,267,-1.26323,-0.471805,30.9837,0.367074,-0.0292058,-0.0780604,2.622,
9,24,267,-1.28376,-0.450015,31.1302,0.368565,-0.0277385,-0.0789854,2.643,
9,24,267,-1.30143,-0.433011,31.2643,0.370185,-0.0265876,-0.0797591,2.666,
9,24,267,-1.31631,-0.421177,31.392,0.371915,-0.0257653,-0.0803687,2.685,
9,24,267,-1.32943,-0.413213,31.5132,0.373793,-0.0251889,-0.0808804,2.705,
9,24,267,-1.34163,-0.408759,31.6365,0.3758,-0.024828,-0.0813272,2.723,
9,24,267,-1.35294,-0.408696,31.7645,0.377917,-0.0247317,-0.0817055,2.743,
9,24,267,-1.36314,-0.410903,31.8856,0.37996,-0.0247771,-0.0820288,2.762,
9,24,267,-1.3722,-0.416585,32.008,0.382114,-0.0250312,-0.0822822,2.781,
9,24,267,-1.38143,-0.422722,32.1313,0.383973,-0.0253069,-0.0825313,2.802,
9,24,267,-1.39031,-0.428099,32.2474,0.385538,-0.0255446,-0.0827881,2.821,
9,24,267,-1.40036,-0.432916,32.3724,0.387158,-0.0257359,-0.0830752,2.84,
9,24,267,-1.41177,-0.436443,32.5088,0.388391,-0.0258456,-0.0834278,2.862,
9,24,267,-1.42314,-0.434655,32.6285,0.38933,-0.0256523,-0.0838122,2.885,
9,24,267,-1.43543,-0.429955,32.7475,0.390103,-0.0252892,-0.0842473,2.905,
9,24,267,-1.44736,-0.423241,32.8555,0.390693,-0.024818,-0.0846844,2.924,
9,24,267,-1.45866,-0.415638,32.958,0.391282,-0.024303,-0.085101,2.942,
9,24,267,-1.47057,-0.407407,33.065,0.391981,-0.023751,-0.0855383,2.96,
9,24,267,-1.48268,-0.399556,33.1739,0.392809,-0.0232225,-0.0859773,2.979,
9,24,267,-1.49375,-0.392879,33.2818,0.393914,-0.0227681,-0.0863649,2.999,
9,24,267,-1.50462,-0.388168,33.391,0.395166,-0.0224249,-0.0867201,3.018,
9,24,267,-1.51431,-0.386151,33.4938,0.396731,-0.022249,-0.0870443,3.037,
9,24,267,-1.52339,-0.386705,33.6,0.398627,-0.0222174,-0.0873154,3.056,
9,24,267,-1.53205,-0.391487,33.7117,0.400965,-0.0224241,-0.0875454,3.077,
9,24,267,-1.53841,-0.399967,33.808,0.403303,-0.0228503,-0.0876798,3.095,
9,24,267,-1.54381,-0.412466,33.9057,0.405898,-0.0235022,-0.0877564,3.114,
9,24,267,-1.54791,-0.428248,33.9978,0.408586,-0.0243404,-0.0877698,3.132,
9,24,267,-1.55104,-0.451825,34.1049,0.41166,-0.0256021,-0.0876815,3.151,
9,24,267,-1.55152,-0.47949,34.2045,0.414735,-0.0271016,-0.0874922,3.171,
9,24,267,-1.55005,-0.513991,34.3084,0.417901,-0.028968,-0.0871622,3.191,
9,24,267,-1.54662,-0.553566,34.4171,0.420938,-0.0311084,-0.0867245,3.212,
9,24,267,-1.54098,-0.593746,34.5172,0.423608,-0.0332748,-0.0861777,3.233,
9,24,267,-1.53334,-0.63771,34.6204,0.426295,-0.0356384,-0.0855178,3.252,
9,24,267,-1.52445,-0.684177,34.7363,0.428652,-0.0381165,-0.0847665,3.274,
9,24,267,-1.51415,-0.730261,34.8517,0.430971,-0.0405621,-0.0839513,3.296,
9,24,267,-1.50562,-0.767105,34.9496,0.432738,-0.0424945,-0.0832628,3.315,
9,24,267,-1.49706,-0.804276,35.0564,0.434524,-0.0444268,-0.0825614,3.334,
9,24,267,-1.48998,-0.835453,35.1553,0.436181,-0.0460322,-0.0819697,3.352,
9,24,267,-1.48347,-0.865912,35.264,0.438022,-0.0475769,-0.0813893,3.37,
9,24,267,-1.47872,-0.893078,35.3751,0.439697,-0.0489292,-0.0809026,3.389,
9,24,267,-1.47604,-0.917244,35.4912,0.441299,-0.0501033,-0.0805198,3.409,
9,24,267,-1.47543,-0.936409,35.604,0.442679,-0.0510061,-0.0802635,3.428,
9,24,267,-1.47733,-0.95187,35.7183,0.443802,-0.0517005,-0.0801403,3.447,
9,24,267,-1.48147,-0.962974,35.828,0.444686,-0.0521617,-0.0801481,3.465,
9,24,267,-1.49002,-0.971692,35.963,0.44533,-0.0524495,-0.080328,3.484,
9,24,267,-1.50118,-0.976336,36.1011,0.445477,-0.0525316,-0.0806698,3.506,
9,24,267,-1.51318,-0.977575,36.2254,0.445477,-0.0524402,-0.0810683,3.527,
9,24,267,-1.52545,-0.978428,36.3498,0.445477,-0.0523245,-0.0814718,3.547,
9,24,267,-1.53668,-0.979578,36.469,0.445477,-0.052238,-0.0818383,3.567,
9,24,267,-1.54632,-0.982203,36.5802,0.445477,-0.0522432,-0.0821385,3.585,
9,24,267,-1.55621,-0.986394,36.7033,0.445477,-0.0523088,-0.0824146,3.604,
9,24,267,-1.56437,-0.994194,36.8329,0.445477,-0.0525654,-0.0826002,3.622,
9,24,267,-1.57086,-1.00389,36.9579,0.444612,-0.0529223,-0.0827001,3.643,
9,24,267,-1.5769,-1.01426,37.0806,0.444226,-0.0533144,-0.0827785,3.662,
9,24,267,-1.5836,-1.02526,37.2178,0.443305,-0.0537176,-0.0828612,3.683,
9,24,267,-1.59189,-1.03449,37.3547,0.442145,-0.0540277,-0.0830278,3.704,
9,24,267,-1.60072,-1.0412,37.4851,0.440691,-0.0542194,-0.0832449,3.725,
9,24,267,-1.61264,-1.04389,37.6168,0.438979,-0.0541944,-0.0836082,3.745,
9,24,267,-1.62735,-1.04172,37.7441,0.437065,-0.0539188,-0.0841137,3.766,
9,24,267,-1.64839,-1.03363,37.8967,0.434984,-0.0533128,-0.0848975,3.79,
9,24,267,-1.67101,-1.01978,38.0278,0.433125,-0.0524422,-0.0857995,3.812,
9,24,267,-1.69841,-0.99742,38.1648,0.431671,-0.0511306,-0.0869215,3.836,
9,24,267,-1.73127,-0.965014,38.3025,0.430456,-0.0493151,-0.0883144,3.857,
9,24,267,-1.7633,-0.929276,38.4308,0.429591,-0.0473514,-0.0896755,3.881,
